DATASET_GRADIENT

SEPARATOR TAB
DATASET_LABEL	PC1
COLOR	#ff0000


#COLOR_MIN	#0000ff
#COLOR_MAX	#ff0000

DATA
Lissotriton_vulgaris	-0.2436691927097947
Arctogadus_glacialis	0.0648446582969148
Stolephorus_indicus	-2.003345828315514
Dorosoma_cepedianum	-0.4026331112752984
Decapterus_macrosoma	-0.8530584902057019
Percilia_irwini	-1.467281427097666
Wallago_attu	1.022211961953171
Alburnus_alburnus	-1.1022168826764462
Pagrus_major	0.7553224046191881
Osteolaemus_tetraspis	3.810791108303361
Astyanax_mexicanus	-0.9857536686742644
Chionodraco_myersi	1.091235714838348
Clarias_batrachus	-0.3092308380732999
Gazza_minuta	-1.2643115842220545
Equulites_leuciscus	-1.0397303449792128
Macruronus_novaezelandiae	0.2085711719340607
Lithognathus_mormyrus	-1.1510765601260546
Epinephelus_polyphekadion	0.665405735868105
Anoplopoma_fimbria	1.8110157779558207
Pomoxis_nigromaculatus	-0.3859385285682462
Pachyhynobius_shangchengensis	0.5905088742598
Eubleekeria_splendens	-1.2654892277723229
Raja_clavata	2.830189467390696
Trematomus_lepidorhinus	0.5957395889980742
Lutjanus_johnii	0.2176802660477748
Gallinula_chloropus	1.5432167900600289
Selaroides_leptolepis	-1.030105719947254
Pomacentrus_coelestis	-2.6483948386958462
Sarda_orientalis	-0.041917536513557
Atule_mate	-1.030109705145593
Karalla_daura	-1.20987275941406
Cirrhinus_cirrhosus	0.6068187450885524
Trigla_lyra	-0.1134539886825007
Hyla_arborea	-0.9635224165044805
Styela_plicata	-3.595991469288524
Schilbe_intermedius	-0.3076171389347774
Scincella_lateralis	-0.6380017122418701
Lutjanus_vitta	-0.8273486635616688
Epinephelus_quoyanus	0.0235422337271317
Platax_orbicularis	-0.2378206782749331
Allocyttus_verrucosus	1.6971010274144929
Plectropomus_leopardus	0.858162239807444
Caranx_ignobilis	0.866759207361106
Dolloidraco_longedorsalis	0.4623426775463798
Lutjanus_apodus	0.696425152321658
Labeo_rohita	0.4263851742945666
Pelophylax_nigromaculatus	-0.395860294625649
Cetengraulis_edentulus	-1.433368102512299
Hynobius_quelpaertensis	-0.6634894578223838
Basiliscus_plumifrons	1.6496526180467417
Lissotriton_helveticus	-0.7921404060353721
Engraulis_mordax	-1.2342820377204131
Gnathanodon_speciosus	1.1437700019186825
Raja_montagui	2.5503209535209
Pseudoplatystoma_tigrinum	0.9035105097490328
Sylvirana_nigrovittata	-1.3451806609263277
Scomber_japonicus	-0.1330737526320772
Valenciennea_strigata	-2.1428624316961007
Diplodus_cervinus	-0.0666779074784893
Basiliscus_vittatus	0.9229441845999556
Halosauropsis_macrochir	0.8429310041696488
Leucoraja_naevus	2.363065988887143
Triturus_marmoratus	-0.3296795836568641
Epinephelus_cyanopodus	0.8228875183693681
Allocyttus_niger	1.5078158564909938
Coilia_nasus	-0.8016958466760408
Columba_livia	1.798270469344703
Ramphastos_toco	2.01034728402055
Aspidophoroides_monopterygius	-0.1986490366214727
Centropyge_bicolor	-0.3238892061925484
Liparis_gibbus	1.12636965733746
Pomadasys_stridens	-1.000394260143128
Rana_macrocnemis	-0.5519632668768093
Labeo_altivelis	0.0755915340298407
Crocodylus_moreletii	3.685698976971561
Brycinus_nurse	-0.9562336352326892
Marcusenius_macrolepidotus	0.1759012333630756
Nanorana_parkeri	-1.0056537535479015
Channa_punctata	-1.504355817382178
Syngnathus_fuscus	-0.9197418755490758
Struthio_camelus	4.026128974321949
Pseudochromis_fuscus	-1.5657567701075483
Trachurus_japonicus	-0.0391731996905999
Paleosuchus_palpebrosus	3.244180257866404
Galeocerdo_cuvier	5.053884283198867
Lutjanus_fulvus	0.095131541081768
Sander_vitreus	0.9550883325742144
Zootoca_vivipara	-0.2860574347205227
Sargocentron_diadema	-0.8368431930519586
Fejervarya_multistriata	-1.2382888272779018
Archosargus_probatocephalus	0.1680496997183258
Siganus_fuscescens	-0.9834749243432142
Eucinostomus_argenteus	-1.554196163770118
Euthynnus_alletteratus	0.3873828522897869
Elops_saurus	0.687417174744704
Crocodylus_acutus	3.950870176559966
Acipenser_transmontanus	3.1779811758685543
Brevoortia_patronus	-0.8963542642433782
Labeo_catla	0.2599661899180068
Lepturacanthus_savala	-0.213953269402032
Coilia_dussumieri	-1.3021917166356385
Chionodraco_hamatus	1.2278738740907236
Triportheus_albus	-1.2594725466325358
Muraenesox_cinereus	1.6609651003282448
Larus_fuscus	2.431796209708538
Eutrigla_gurnardus	-0.1595980947268049
Loxodon_macrorhinus	3.2733270357195847
Fratercula_arctica	2.0815962360005784
Hepsetus_odoe	-0.4065549649045165
Chrysichthys_auratus	0.0678815105711746
Fejervarya_limnocharis	-1.263606625966769
Centropristis_striata	0.2207876008439543
Parastromateus_niger	-0.0226715928095777
Acipenser_oxyrinchus	2.1539350865178832
Aldabrachelys_gigantea	4.254728917869552
Macroramphosus_gracilis	-1.3187347078065936
Kajikia_audax	1.1112681204532868
Champsocephalus_gunnari	1.4158257677097343
Centropomus_parallelus	0.4487230209543798
Decapterus_tabl	-0.4447488786969021
Decapterus_macarellus	-0.6271102229881483
Acanthocybium_solandri	0.6499630565709801
Euphlyctis_hexadactylus	-0.3714791714703195
Eretmochelys_imbricata	3.573870337840737
Rachycentron_canadum	0.8529485773615094
Ammocrypta_pellucida	-1.723608468865362
Konosirus_punctatus	-0.2120805419379049
Tylosurus_crocodilus	0.5039721455478136
Pagetopsis_maculatus	0.3418040324347318
Prionotus_carolinus	-0.3797069047975295
Hippocampus_guttulatus	-0.6283773441814239
Hemibarbus_labeo	0.393846196150332
Amblygaster_sirm	-0.9918991145518335
Protonibea_diacanthus	0.3621470803136655
Pomadasys_argenteus	-0.0291437027648438
Abbottina_rivularis	-0.91661235055852
Epinephelus_maculatus	0.1268860723988499
